Study Site,Source,Period Start,Period End,Probable Period,Weight (g),Reference
Bream Head,Fanal Island,1500,1769,Late,10.16,McCoy and Carpenter (2014)
Bream Head,Fanal Island,1500,1769,Late,5.3,McCoy and Carpenter (2014)
Bream Head,Fanal Island,1500,1769,Late,0.54,McCoy and Carpenter (2014)
Bream Head,Fanal Island,1500,1769,Late,0.35,McCoy and Carpenter (2014)
Bream Head,Fanal Island,1500,1769,Late,20.98,McCoy and Carpenter (2014)
Bream Head,Fanal Island,1500,1769,Late,1.29,McCoy and Carpenter (2014)
Bream Head,Fanal Island,1500,1769,Late,0.89,McCoy and Carpenter (2014)
Bream Head,Fanal Island,1500,1769,Late,0.35,McCoy and Carpenter (2014)
Bream Head,Fanal Island,1500,1769,Late,0.33,McCoy and Carpenter (2014)
Bream Head,Fanal Island,1500,1769,Late,0.05,McCoy and Carpenter (2014)
Bream Head,Fanal Island,1500,1769,Late,3.08,McCoy and Carpenter (2014)
Bream Head,Fanal Island,1500,1769,Late,0.17,McCoy and Carpenter (2014)
Bream Head,Huruiki,1500,1769,Late,0.14,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,3.96,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,0.2,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,5.63,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,1.54,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,0.23,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,1.76,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,0.04,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,0.03,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,4.56,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,0.34,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,15.46,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,1.38,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,0.05,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,3.05,McCoy and Carpenter (2014)
Bream Head,Mayor Island,1500,1769,Late,1.45,McCoy and Carpenter (2014)
Bream Head,Te Ahumata,1500,1769,Late,1.11,McCoy and Carpenter (2014)
Bream Head,Te Ahumata,1500,1769,Late,1.57,McCoy and Carpenter (2014)
Bream Head,Te Ahumata,1500,1769,Late,1.03,McCoy and Carpenter (2014)
Bream Head,Te Ahumata,1500,1769,Late,0.19,McCoy and Carpenter (2014)
Bream Head,Te Ahumata,1500,1769,Late,3.57,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,12.91,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,0.99,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,1.23,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,7.4,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,0.97,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,5.52,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,1.56,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.66,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,1.53,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,1.95,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,4.14,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.19,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,5,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,8.42,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,7.19,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.52,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,1.55,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,0.11,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
